Acupoint_Code,Relation,Action_Target,,,,,,,,,,,,,,,,,,,,,,,
SP20,downbears,Lung Qi,,,,,,,,,,,,,,,,,,,,,,,
SP20,suppresses,Cough,,,,,,,,,,,,,,,,,,,,,,,
SP20,stabilizes,Dyspnea,,,,,,,,,,,,,,,,,,,,,,,
SP21,moves,Blood,,,,,,,,,,,,,,,,,,,,,,,
HT1,nourishes,Heart Yin,,,,,,,,,,,,,,,,,,,,,,,
HT1,clears,Empty Heat,,,,,,,,,,,,,,,,,,,,,,,
HT2,frees,Channels,,,,,,,,,,,,,,,,,,,,,,,
HT2,quickens,Connecting Vessels,,,,,,,,,,,,,,,,,,,,,,,
HT2,regulates,Qi,,,,,,,,,,,,,,,,,,,,,,,
HT2,regulates,Blood,,,,,,,,,,,,,,,,,,,,,,,
HT3,removes,Channel Obstructions,,,,,,,,,,,,,,,,,,,,,,,
HT3,calms,Mind,,,,,,,,,,,,,,,,,,,,,,,
HT3,clears,Heat,,,,,,,,,,,,,,,,,,,,,,,
HT4,removes,Channel Obstructions,,,,,,,,,,,,,,,,,,,,,,,
HT5,calms,Mind,,,,,,,,,,,,,,,,,,,,,,,
HT5,tonifies,Heart Qi,,,,,,,,,,,,,,,,,,,,,,,
HT5,opens,Into Tongue,,,,,,,,,,,,,,,,,,,,,,,
HT5,benefits,Bladder,,,,,,,,,,,,,,,,,,,,,,,
HT6,nourishes,Heart Yin,,,,,,,,,,,,,,,,,,,,,,,
HT6,clears,Heat,,,,,,,,,,,,,,,,,,,,,,,
HT6,stops,Sweating,,,,,,,,,,,,,,,,,,,,,,,
HT6,calms,Mind,,,,,,,,,,,,,,,,,,,,,,,
HT7,calms,Mind,,,,,,,,,,,,,,,,,,,,,,,
HT7,nourishes,Heart Blood,,,,,,,,,,,,,,,,,,,,,,,
HT7,opens,Orifices,,,,,,,,,,,,,,,,,,,,,,,
HT8,clears,Heart Fire,,,,,,,,,,,,,,,,,,,,,,,
HT8,clears,Empty Heat,,,,,,,,,,,,,,,,,,,,,,,
HT8,clears,Phlegm Fire,,,,,,,,,,,,,,,,,,,,,,,
HT8,calms,Mind,,,,,,,,,,,,,,,,,,,,,,,
HT9,clears,Heat,,,,,,,,,,,,,,,,,,,,,,,
HT9,subdues,Wind,,,,,,,,,,,,,,,,,,,,,,,
HT9,opens,Heart Orifices,,,,,,,,,,,,,,,,,,,,,,,
HT9,relieves,Fullness,,,,,,,,,,,,,,,,,,,,,,,
HT9,restores,Consciousness,,,,,,,,,,,,,,,,,,,,,,,
SI1,expels,Wind Heat,,,,,,,,,,,,,,,,,,,,,,,
SI1,subdues,Wind,,,,,,,,,,,,,,,,,,,,,,,
SI1,opens,Orifices,,,,,,,,,,,,,,,,,,,,,,,
SI1,removes,Channel Obstructions,,,,,,,,,,,,,,,,,,,,,,,
SI1,promotes,Lactation,,,,,,,,,,,,,,,,,,,,,,,
SI2,clears,Heat,,,,,,,,,,,,,,,,,,,,,,,
SI3,eliminates,Interior Wind,,,,,,,,,,,,,,,,,,,,,,,
SI3,expels,Exterior Wind,,,,,,,,,,,,,,,,,,,,,,,
SI3,benefits,Sinews,,,,,,,,,,,,,,,,,,,,,,,
SI3,resolves,Damp,,,,,,,,,,,,,,,,,,,,,,,
SI3,resolves,Jaundice,,,,,,,,,,,,,,,,,,,,,,,
SI3,clears,Mind,,,,,,,,,,,,,,,,,,,,,,,
SI4,removes,Channel Obstructions,,,,,,,,,,,,,,,,,,,,,,,
SI4,eliminates,Damp Heat,,,,,,,,,,,,,,,,,,,,,,,
SI5,clears,Mind,,,,,,,,,,,,,,,,,,,,,,,
SI5,removes,Channel Obstructions,,,,,,,,,,,,,,,,,,,,,,,
SI5,expels,Exterior Damp Heat,,,,,,,,,,,,,,,,,,,,,,,
SI6,benefits,Sinews,,,,,,,,,,,,,,,,,,,,,,,
SI6,brightens,Eyes,,,,,,,,,,,,,,,,,,,,,,,
SI6,removes,Channel Obstructions,,,,,,,,,,,,,,,,,,,,,,,
SI7,removes,Channel Obstructions,,,,,,,,,,,,,,,,,,,,,,,
SI7,calms,Mind,,,,,,,,,,,,,,,,,,,,,,,
SI8,resolves,Damp Heat,,,,,,,,,,,,,,,,,,,,,,,
SI8,removes,Channel Obstructions,,,,,,,,,,,,,,,,,,,,,,,
SI8,calms,Mind,,,,,,,,,,,,,,,,,,,,,,,
SI9,courses,Wind,,,,,,,,,,,,,,,,,,,,,,,
SI9,quickens,Connecting Vessels,,,,,,,,,,,,,,,,,,,,,,,
SI9,dissipates,Pain,,,,,,,,,,,,,,,,,,,,,,,
SI9,binds,Pain,,,,,,,,,,,,,,,,,,,,,,,
SI9,relieves,Pain,,,,,,,,,,,,,,,,,,,,,,,
SI10,quickens,Blood,,,,,,,,,,,,,,,,,,,,,,,
SI10,frees,Connecting Vessels,,,,,,,,,,,,,,,,,,,,,,,
SI10,soothes,Sinews,,,,,,,,,,,,,,,,,,,,,,,
SI10,dissipates,Binds,,,,,,,,,,,,,,,,,,,,,,,
SI11,resolves,Tai Yang Channel Pathogens,,,,,,,,,,,,,,,,,,,,,,,
SI11,diffuses,Chest Qi Stagnation,,,,,,,,,,,,,,,,,,,,,,,
SI11,diffuses,Lateral Costal Region Qi stagnation,,,,,,,,,,,,,,,,,,,,,,,
SI12,frees,Channels,,,,,,,,,,,,,,,,,,,,,,,
SI12,quickens,Connecting Vessels,,,,,,,,,,,,,,,,,,,,,,,
SI13,soothes,Sinews,,,,,,,,,,,,,,,,,,,,,,,
SI13,quickens,Blood,,,,,,,,,,,,,,,,,,,,,,,
SI14,courses,Wind,,,,,,,,,,,,,,,,,,,,,,,
SI14,quickens,Connecting Vessels,,,,,,,,,,,,,,,,,,,,,,,
SI14,warms,Channels,,,,,,,,,,,,,,,,,,,,,,,
SI14,dissipates,Cold,,,,,,,,,,,,,,,,,,,,,,,
SI15,diffuses,Lungs,,,,,,,,,,,,,,,,,,,,,,,
SI15,clears,Heat,,,,,,,,,,,,,,,,,,,,,,,
SI15,transforms,Phlegm,,,,,,,,,,,,,,,,,,,,,,,
SI15,brightens,Eyes,,,,,,,,,,,,,,,,,,,,,,,
SI16,dispels,Wind,,,,,,,,,,,,,,,,,,,,,,,
SI16,quickens,Connecting Vessels,,,,,,,,,,,,,,,,,,,,,,,
SI16,quiets,Spirit,,,,,,,,,,,,,,,,,,,,,,,
SI16,nourishes,Heart,,,,,,,,,,,,,,,,,,,,,,,
SI17,resolves,Damp Heat,,,,,,,,,,,,,,,,,,,,,,,
SI17,expels,Fire Poison,,,,,,,,,,,,,,,,,,,,,,,
SI17,removes,Channel Obstructions,,,,,,,,,,,,,,,,,,,,,,,
SI18,expels,Wind,,,,,,,,,,,,,,,,,,,,,,,
SI18,relieves,Pain,,,,,,,,,,,,,,,,,,,,,,,
SI19,benefits,Ears,,,,,,,,,,,,,,,,,,,,,,,
BL1,expels,Wind,,,,,,,,,,,,,,,,,,,,,,,
BL1,clears,Heat,,,,,,,,,,,,,,,,,,,,,,,
BL1,brightens,Eyes,,,,,,,,,,,,,,,,,,,,,,,
BL1,stops,Pain,,,,,,,,,,,,,,,,,,,,,,,
BL1,stops,Itching,,,,,,,,,,,,,,,,,,,,,,,
BL1,stops,Lacrimation,,,,,,,,,,,,,,,,,,,,,,,
BL2,expels,Wind,,,,,,,,,,,,,,,,,,,,,,,
BL2,brightens,Eyes,,,,,,,,,,,,,,,,,,,,,,,
BL2,soothes,Liver,,,,,,,,,,,,,,,,,,,,,,,
BL2,removes,Channel Obstructions,,,,,,,,,,,,,,,,,,,,,,,
BL2,stops,Pain,,,,,,,,,,,,,,,,,,,,,,,
BL3,dispels,Wind,,,,,,,,,,,,,,,,,,,,,,,
BL3,clears,Heat,,,,,,,,,,,,,,,,,,,,,,,
BL3,brightens,Eyes,,,,,,,,,,,,,,,,,,,,,,,
BL4,discharges,Heat,,,,,,,,,,,,,,,,,,,,,,,
BL4,opens,Portals,,,,,,,,,,,,,,,,,,,,,,,
BL4,clears,Head,,,,,,,,,,,,,,,,,,,,,,,
BL4,brightens,Eyes,,,,,,,,,,,,,,,,,,,,,,,
BL5,subdues,Interior Wind,,,,,,,,,,,,,,,,,,,,,,,
BL5,restores,Consciousness,,,,,,,,,,,,,,,,,,,,,,,
BL6,clears,Heat,,,,,,,,,,,,,,,,,,,,,,,
BL6,eliminates,Vexation,,,,,,,,,,,,,,,,,,,,,,,
BL6,brithens,Eyes,,,,,,,,,,,,,,,,,,,,,,,
BL6,opens,Portals,,,,,,,,,,,,,,,,,,,,,,,
BL7,subdues,Wind,,,,,,,,,,,,,,,,,,,,,,,
BL7,clears,Nose,,,,,,,,,,,,,,,,,,,,,,,
BL7,brightens,Eyes,,,,,,,,,,,,,,,,,,,,,,,
BL7,stops,Convulsions,,,,,,,,,,,,,,,,,,,,,,,
BL7,opens,Orifices,,,,,,,,,,,,,,,,,,,,,,,
BL8,dissipates,Wind,,,,,,,,,,,,,,,,,,,,,,,
BL8,clears,Heat,,,,,,,,,,,,,,,,,,,,,,,
BL8,clears,Head,,,,,,,,,,,,,,,,,,,,,,,
BL8,brightens,Eyes,,,,,,,,,,,,,,,,,,,,,,,
BL9,dispels,Wind,,,,,,,,,,,,,,,,,,,,,,,
BL9,quickens,Connecting Vessels,,,,,,,,,,,,,,,,,,,,,,,
BL9,frees,Portals,,,,,,,,,,,,,,,,,,,,,,,
BL9,brightens,Eyes,,,,,,,,,,,,,,,,,,,,,,,
BL10,expels,Wind,,,,,,,,,,,,,,,,,,,,,,,
BL10,clears,Brain,,,,,,,,,,,,,,,,,,,,,,,
BL10,opens,Orifices,,,,,,,,,,,,,,,,,,,,,,,
BL10,soothes,Sinews,,,,,,,,,,,,,,,,,,,,,,,
BL10,removes,Channel Obstructions,,,,,,,,,,,,,,,,,,,,,,,
BL10,brightens,Eyes,,,,,,,,,,,,,,,,,,,,,,,
BL10,invigorates,Lower Back,,,,,,,,,,,,,,,,,,,,,,,
BL11,nourishes,Blood,,,,,,,,,,,,,,,,,,,,,,,
BL11,expels,Wind,,,,,,,,,,,,,,,,,,,,,,,
BL11,strengthens,Bones,,,,,,,,,,,,,,,,,,,,,,,
BL11,soothes,Sinews,,,,,,,,,,,,,,,,,,,,,,,
BL11,releases,Exterior,,,,,,,,,,,,,,,,,,,,,,,
BL12,expels,Exterior Wind,,,,,,,,,,,,,,,,,,,,,,,
BL12,prevents,Exterior Wind,,,,,,,,,,,,,,,,,,,,,,,
BL12,releases,Exterior,,,,,,,,,,,,,,,,,,,,,,,
BL12,stimulates,Lung Dispersing Function,,,,,,,,,,,,,,,,,,,,,,,
BL12,regulates,Nutritive Qi,,,,,,,,,,,,,,,,,,,,,,,
BL12,regulates,Defensive Qi,,,,,,,,,,,,,,,,,,,,,,,
BL13,stimulates,Lung Dispersing Function,,,,,,,,,,,,,,,,,,,,,,,
BL13,stimulates,Lung Descending Function,,,,,,,,,,,,,,,,,,,,,,,
BL13,regulates,Lung Qi,,,,,,,,,,,,,,,,,,,,,,,
BL13,regulates,Nutritive Qi,,,,,,,,,,,,,,,,,,,,,,,
BL13,regulates,Defensive Qi,,,,,,,,,,,,,,,,,,,,,,,
BL13,tonifies,Lung Qi,,,,,,,,,,,,,,,,,,,,,,,
BL13,stops,Cough,,,,,,,,,,,,,,,,,,,,,,,
BL13,clears,Heat,,,,,,,,,,,,,,,,,,,,,,,
BL14,regulates,Heart,,,,,,,,,,,,,,,,,,,,,,,
BL15,calms,Mind,,,,,,,,,,,,,,,,,,,,,,,
BL15,clears,Heat,,,,,,,,,,,,,,,,,,,,,,,
BL15,stimulates,Brain,,,,,,,,,,,,,,,,,,,,,,,
BL15,invigorates,Blood,,,,,,,,,,,,,,,,,,,,,,,
BL15,nourishes,Heart,,,,,,,,,,,,,,,,,,,,,,,
BL16,regulates,Heart,,,,,,,,,,,,,,,,,,,,,,,
BL16,invigorates,Blood,,,,,,,,,,,,,,,,,,,,,,,
BL17,nourishes,Blood,,,,,,,,,,,,,,,,,,,,,,,
BL17,invigorates,Blood,,,,,,,,,,,,,,,,,,,,,,,
BL17,opens,Chest,,,,,,,,,,,,,,,,,,,,,,,
BL17,removes,Diaphragm Obstructions,,,,,,,,,,,,,,,,,,,,,,,
BL17,tonifies,Qi,,,,,,,,,,,,,,,,,,,,,,,
BL17,tonifies,Blood,,,,,,,,,,,,,,,,,,,,,,,
BL17,clears,Heat,,,,,,,,,,,,,,,,,,,,,,,
BL17,calms,Mind,,,,,,,,,,,,,,,,,,,,,,,
BL17,pacifies,Stomach Qi,,,,,,,,,,,,,,,,,,,,,,,
BL18,benefits,Liver,,,,,,,,,,,,,,,,,,,,,,,
BL18,benefits,Gallbladder,,,,,,,,,,,,,,,,,,,,,,,
BL18,resolves,Damp Heat,,,,,,,,,,,,,,,,,,,,,,,
BL18,moves,Stagnant Qi,,,,,,,,,,,,,,,,,,,,,,,
BL18,benefits,Eyes,,,,,,,,,,,,,,,,,,,,,,,
BL18,eliminates,Wind,,,,,,,,,,,,,,,,,,,,,,,
BL19,resolves,Liver Damp Heat,,,,,,,,,,,,,,,,,,,,,,,
BL19,resolves,Gallbladder Damp Heat,,,,,,,,,,,,,,,,,,,,,,,
BL19,pacifies,Stomach,,,,,,,,,,,,,,,,,,,,,,,
BL19,relaxes,Diaphragm,,,,,,,,,,,,,,,,,,,,,,,
BL20,tonifies,Spleen,,,,,,,,,,,,,,,,,,,,,,,
BL20,tonifies,Stomach,,,,,,,,,,,,,,,,,,,,,,,
BL20,resolves,Damp,,,,,,,,,,,,,,,,,,,,,,,
BL20,nourishes,Blood,,,,,,,,,,,,,,,,,,,,,,,
BL21,regulates,Stomach Qi,,,,,,,,,,,,,,,,,,,,,,,
BL21,tonifies,Stomach Qi,,,,,,,,,,,,,,,,,,,,,,,
BL21,resolves,Damp,,,,,,,,,,,,,,,,,,,,,,,
BL21,pacifies,Stomach,,,,,,,,,,,,,,,,,,,,,,,
BL21,relieves,Food Retention,,,,,,,,,,,,,,,,,,,,,,,
BL22,resolves,Damp,,,,,,,,,,,,,,,,,,,,,,,
BL22,opens,Water Passages,,,,,,,,,,,,,,,,,,,,,,,
BL22,regulates,Fluid Transformation,,,,,,,,,,,,,,,,,,,,,,,
BL23,tonifies,Kidneys,,,,,,,,,,,,,,,,,,,,,,,
BL23,nourishes,Kidney Essence,,,,,,,,,,,,,,,,,,,,,,,
BL23,strengthens,Lower Back,,,,,,,,,,,,,,,,,,,,,,,
BL23,nourishes,Blood,,,,,,,,,,,,,,,,,,,,,,,
BL23,benefits,Bones,,,,,,,,,,,,,,,,,,,,,,,
BL23,benefits,Marrow,,,,,,,,,,,,,,,,,,,,,,,
BL23,resolves,Damp,,,,,,,,,,,,,,,,,,,,,,,
BL23,strengthens,Kidney Function Of Reception Of Qi,,,,,,,,,,,,,,,,,,,,,,,
BL23,brightens,Eyes,,,,,,,,,,,,,,,,,,,,,,,
BL23,benefits,Ears,,,,,,,,,,,,,,,,,,,,,,,
BL24,strengthens,Lower Back,,,,,,,,,,,,,,,,,,,,,,,
BL24,removes,Channel Obstructions,,,,,,,,,,,,,,,,,,,,,,,
BL24,regulates,Qi,,,,,,,,,,,,,,,,,,,,,,,
BL24,regulates,Blood,,,,,,,,,,,,,,,,,,,,,,,
BL25,promotes,Large Intestine Function,,,,,,,,,,,,,,,,,,,,,,,
BL25,strengthens,Lower Back,,,,,,,,,,,,,,,,,,,,,,,
BL25,removes,Channel Obstructions,,,,,,,,,,,,,,,,,,,,,,,
BL25,relieves,Fullness,,,,,,,,,,,,,,,,,,,,,,,
BL25,relieves,Swelling,,,,,,,,,,,,,,,,,,,,,,,
BL26,strengthens,Lower Back,,,,,,,,,,,,,,,,,,,,,,,
BL26,removes,Channel Obstructions,,,,,,,,,,,,,,,,,,,,,,,
BL27,promotes,Small Intestine Function,,,,,,,,,,,,,,,,,,,,,,,
BL27,resolves,Damp,,,,,,,,,,,,,,,,,,,,,,,
BL27,clears,Heat,,,,,,,,,,,,,,,,,,,,,,,
BL27,benefits,Urination,,,,,,,,,,,,,,,,,,,,,,,
BL28,regulates,Bladder,,,,,,,,,,,,,,,,,,,,,,,
BL28,resolves,Damp,,,,,,,,,,,,,,,,,,,,,,,
BL28,clears,Heat,,,,,,,,,,,,,,,,,,,,,,,
BL28,stops,Pain,,,,,,,,,,,,,,,,,,,,,,,
BL28,eliminates,Stagnation,,,,,,,,,,,,,,,,,,,,,,,
BL28,opens,Lower Burner Water Passages,,,,,,,,,,,,,,,,,,,,,,,
BL28,strengthens,Loins,,,,,,,,,,,,,,,,,,,,,,,
BL29,strengthens,Lumbar Spine,,,,,,,,,,,,,,,,,,,,,,,
BL29,warms,Yang,,,,,,,,,,,,,,,,,,,,,,,
BL29,dissipates,Cold,,,,,,,,,,,,,,,,,,,,,,,
BL30,warms,Yang,,,,,,,,,,,,,,,,,,,,,,,
BL30,regulates,Menses,,,,,,,,,,,,,,,,,,,,,,,
BL30,courses,Channels,,,,,,,,,,,,,,,,,,,,,,,
BL30,rectifies,Lower Burner,,,,,,,,,,,,,,,,,,,,,,,
BL31,regulates,Lower Burner,,,,,,,,,,,,,,,,,,,,,,,
BL31,tonifies,Elumbar Region,,,,,,,,,,,,,,,,,,,,,,,
BL31,tonifies,Knees,,,,,,,,,,,,,,,,,,,,,,,
BL31,nourishes,Kidneys,,,,,,,,,,,,,,,,,,,,,,,
BL32,regulates,Lower Burner,,,,,,,,,,,,,,,,,,,,,,,
BL32,tonifies,Lumbar Region,,,,,,,,,,,,,,,,,,,,,,,
BL32,tonifies,Knees,,,,,,,,,,,,,,,,,,,,,,,
BL32,nourishes,Kidneys,,,,,,,,,,,,,,,,,,,,,,,
BL33,regulates,Lower Burner,,,,,,,,,,,,,,,,,,,,,,,
BL33,tonifies,Lumbar Region,,,,,,,,,,,,,,,,,,,,,,,
BL33,tonifies,Knees,,,,,,,,,,,,,,,,,,,,,,,
BL33,nourishes,Kidneys,,,,,,,,,,,,,,,,,,,,,,,
BL34,regulates,Lower Burner,,,,,,,,,,,,,,,,,,,,,,,
BL34,tonifies,Lumbar Region,,,,,,,,,,,,,,,,,,,,,,,
BL34,tonifies,Knees,,,,,,,,,,,,,,,,,,,,,,,
BL34,nourishes,Kidneys,,,,,,,,,,,,,,,,,,,,,,,
BL35,clears,Lower Burner Damp Heat,,,,,,,,,,,,,,,,,,,,,,,
BL35,discharges,Lower Burner Damp Heat,,,,,,,,,,,,,,,,,,,,,,,
BL36,soothes,Sinews,,,,,,,,,,,,,,,,,,,,,,,
BL36,quickens,Connecting Vessels,,,,,,,,,,,,,,,,,,,,,,,
BL37,strengthens,Lumbar Spine,,,,,,,,,,,,,,,,,,,,,,,
BL37,soothes,Sinews,,,,,,,,,,,,,,,,,,,,,,,
BL37,quickens,Connecting Vessels,,,,,,,,,,,,,,,,,,,,,,,
BL37,relieves,Pain,,,,,,,,,,,,,,,,,,,,,,,
BL38,soothes,Sinews,,,,,,,,,,,,,,,,,,,,,,,
BL38,quickens,Connecting Vessels,,,,,,,,,,,,,,,,,,,,,,,
BL38,quickens,Blood,,,,,,,,,,,,,,,,,,,,,,,
BL38,relieves,Pain,,,,,,,,,,,,,,,,,,,,,,,
BL38,clears,Lower Burner,,,,,,,,,,,,,,,,,,,,,,,
BL38,disinhibits,Lower Burner,,,,,,,,,,,,,,,,,,,,,,,
BL39,opens,Lower Burner Water Passages,,,,,,,,,,,,,,,,,,,,,,,
BL39,stimulates,Fluid Transformation,,,,,,,,,,,,,,,,,,,,,,,
BL39,stimulates,Fluids Excretion,,,,,,,,,,,,,,,,,,,,,,,
BL39,benefits,Bladder,,,,,,,,,,,,,,,,,,,,,,,
BL40,clears,Heat,,,,,,,,,,,,,,,,,,,,,,,
BL40,resolves,Damp,,,,,,,,,,,,,,,,,,,,,,,
BL40,relaxes,Sinews,,,,,,,,,,,,,,,,,,,,,,,
BL40,removes,Channel Obstructions,,,,,,,,,,,,,,,,,,,,,,,
BL40,cools,Blood,,,,,,,,,,,,,,,,,,,,,,,
BL40,eliminates,Blood Stasis,,,,,,,,,,,,,,,,,,,,,,,
BL40,clears,Summer Heat,,,,,,,,,,,,,,,,,,,,,,,
BL41,courses,Wind,,,,,,,,,,,,,,,,,,,,,,,
BL41,dissipates,Cold,,,,,,,,,,,,,,,,,,,,,,,
BL41,soothes,Sinews,,,,,,,,,,,,,,,,,,,,,,,
BL41,quickens,Connecting Vessels,,,,,,,,,,,,,,,,,,,,,,,
BL42,stimulates,Lung Qi Descending,,,,,,,,,,,,,,,,,,,,,,,
BL42,regulates,Qi,,,,,,,,,,,,,,,,,,,,,,,
BL42,clears,Heat,,,,,,,,,,,,,,,,,,,,,,,
BL42,stops,Cough,,,,,,,,,,,,,,,,,,,,,,,
BL42,stops,Asthma,,,,,,,,,,,,,,,,,,,,,,,
BL42,subdues,Rebellious Qi,,,,,,,,,,,,,,,,,,,,,,,
BL43,tonifies,Qi,,,,,,,,,,,,,,,,,,,,,,,
BL43,strengthens,Deficiency,,,,,,,,,,,,,,,,,,,,,,,
BL43,nourishes,Essence,,,,,,,,,,,,,,,,,,,,,,,
BL43,nourishes,Lung Yin,,,,,,,,,,,,,,,,,,,,,,,
BL43,invigorates,Mind,,,,,,,,,,,,,,,,,,,,,,,
BL43,stops,Cough,,,,,,,,,,,,,,,,,,,,,,,
BL43,calms,Asthma,,,,,,,,,,,,,,,,,,,,,,,
BL44,loosens,Chest,,,,,,,,,,,,,,,,,,,,,,,
BL44,rectifies,Qi,,,,,,,,,,,,,,,,,,,,,,,
BL44,suppresses,Cough,,,,,,,,,,,,,,,,,,,,,,,
BL44,stabilizes,Dyspnea,,,,,,,,,,,,,,,,,,,,,,,
BL44,soothes,Sinews,,,,,,,,,,,,,,,,,,,,,,,
BL44,quickens,Connecting Vessels,,,,,,,,,,,,,,,,,,,,,,,
BL45,resolves,Exterior,,,,,,,,,,,,,,,,,,,,,,,
BL45,clears,Heat,,,,,,,,,,,,,,,,,,,,,,,
BL45,diffuses,Lungs,,,,,,,,,,,,,,,,,,,,,,,
BL45,rectifies,Qi,,,,,,,,,,,,,,,,,,,,,,,
BL45,frees,Channels,,,,,,,,,,,,,,,,,,,,,,,
BL45,quickens,Connecting Vessels,,,,,,,,,,,,,,,,,,,,,,,
BL46,stops,Dysphagia,,,,,,,,,,,,,,,,,,,,,,,
BL46,stops,Hiccups,,,,,,,,,,,,,,,,,,,,,,,
BL46,stops,Vomiting,,,,,,,,,,,,,,,,,,,,,,,
BL46,stops,Belching,,,,,,,,,,,,,,,,,,,,,,,
BL46,relieves,Back Pain,,,,,,,,,,,,,,,,,,,,,,,
BL46,relieves,Back Stiffness,,,,,,,,,,,,,,,,,,,,,,,
BL47,regulates,Liver Qi,,,,,,,,,,,,,,,,,,,,,,,
BL47,roots,Ethereal Soul,,,,,,,,,,,,,,,,,,,,,,,
BL48,clears,Gallbladder,,,,,,,,,,,,,,,,,,,,,,,
BL48,clears,Stomach,,,,,,,,,,,,,,,,,,,,,,,
BL48,transforms,Damp Heat,,,,,,,,,,,,,,,,,,,,,,,
BL49,tonifies,Spleen,,,,,,,,,,,,,,,,,,,,,,,
BL49,stimulates,Memory,,,,,,,,,,,,,,,,,,,,,,,
BL49,stimulates,Concentration,,,,,,,,,,,,,,,,,,,,,,,
BL50,harmonizes,Stomach,,,,,,,,,,,,,,,,,,,,,,,
BL50,transforms,Damp,,,,,,,,,,,,,,,,,,,,,,,
BL50,rectifies,Qi,,,,,,,,,,,,,,,,,,,,,,,
BL50,disinhibits,Center,,,,,,,,,,,,,,,,,,,,,,,
BL51,regulates,Triple Burner,,,,,,,,,,,,,,,,,,,,,,,
BL51,ensures,Smooth Triple Burner Qi Spread,,,,,,,,,,,,,,,,,,,,,,,
BL52,tonifies,Kidney,,,,,,,,,,,,,,,,,,,,,,,
BL52,strengthens,Back,,,,,,,,,,,,,,,,,,,,,,,
BL52,reinforces,Will Power,,,,,,,,,,,,,,,,,,,,,,,
BL53,opens,Lower Burner Water Passages,,,,,,,,,,,,,,,,,,,,,,,
BL53,stimulates,Fluids Transformation,,,,,,,,,,,,,,,,,,,,,,,
BL53,stimulates,Fluids Excretion,,,,,,,,,,,,,,,,,,,,,,,
BL54,relaxes,Sinews,,,,,,,,,,,,,,,,,,,,,,,
BL54,invigorates,Blood,,,,,,,,,,,,,,,,,,,,,,,
BL54,clears,Heat,,,,,,,,,,,,,,,,,,,,,,,
BL54,removes,Channel Obstructions,,,,,,,,,,,,,,,,,,,,,,,
BL55,strengthens,Lumbus,,,,,,,,,,,,,,,,,,,,,,,
BL55,boosts,Kidney,,,,,,,,,,,,,,,,,,,,,,,
BL55,soothes,Sinews,,,,,,,,,,,,,,,,,,,,,,,
BL55,quickens,Connecting Vessels,,,,,,,,,,,,,,,,,,,,,,,
BL55,regulates,Penetrating Vessels,,,,,,,,,,,,,,,,,,,,,,,
BL55,regulates,Conception Vessels,,,,,,,,,,,,,,,,,,,,,,,
BL56,soothes,Sinews,,,,,,,,,,,,,,,,,,,,,,,
BL56,quickens,Connecting Vessels,,,,,,,,,,,,,,,,,,,,,,,
BL57,relaxes,Sinews,,,,,,,,,,,,,,,,,,,,,,,
BL57,invigorates,Blood,,,,,,,,,,,,,,,,,,,,,,,
BL57,clears,Heat,,,,,,,,,,,,,,,,,,,,,,,
BL57,removes,Channel Obstructions,,,,,,,,,,,,,,,,,,,,,,,
BL58,removes,Channel Obstructions,,,,,,,,,,,,,,,,,,,,,,,
BL58,strengthens,Kidney,,,,,,,,,,,,,,,,,,,,,,,
BL59,removes,Channel Obstructions,,,,,,,,,,,,,,,,,,,,,,,
BL59,invigorates,Yang Qiao Mai Vessel,,,,,,,,,,,,,,,,,,,,,,,
BL59,strengthens,Back,,,,,,,,,,,,,,,,,,,,,,,
BL60,expels,Wind,,,,,,,,,,,,,,,,,,,,,,,
BL60,removes,Channel Obstructions,,,,,,,,,,,,,,,,,,,,,,,
