Point,Name,Transliteration,English,Pinyin,Korean 한글,Vietnamese,,
LU-1,中府,Zhongfu,Middle Assembly,zhōng fǔ,jung bu 중부,Trung phủ,,
LU-2,雲門,Yunmen,Cloud Gate,yún mén,un mun 운문,Vân môn,,
LU-3,天府,Tianfu,Upper Arm Assembly,tiān fǔ,cheon bu 천부,Thiên phủ,,
LU-4,俠白,Xiabai,Supporting the Lung,xiá bái,hyeop baek 협백,Hiệp bạch,,
LU-5,尺澤,Chize,Cubit Marsh,chǐ zé,cheok taek 척택,Xích trạch,,
LU-6,孔最,Kongzui,Collection Hole,kǒng zuì,gong choe 공최,Khổng tối,,
LU-7,列缺,Lieque,Interrupted Sequence,liè quē,yeol gyeol 열결,Liệt khuyết,,
LU-8,經渠,Jingqu,Channel Ditch,jīng qú,gyeong geo 경거,Kinh cừ,,
LU-9,太淵,Taiyuan,Great Deep Pool,tài yuān,tae yeon 태연,Thái uyên,,
LU-10,魚際,Yuji,Fish Border,yú jì,eo je 어제,Ngư tế,,
LU-11,少商,Shaoshang,Lesser Metal,shào shāng,so sang 소상,Thiếu thương,,
LI-1,商陽,Shangyang,Metal Yang,shāng yáng,sang yang 상양,Thương dương,,
LI-2,二間,Erjian,Second Point,èr jiān,i gan 이간,Nhị gian,,
LI-3,三間,Sanjian,Third Point,sān jiān,sam gan 삼간,Tam gian,,
LI-4,合谷,He Gu,Junction Valley,hé gǔ,hap gok 합곡,Hiệp cốc,,
LI-5,陽谿,Yangxi,Yang Stream,yáng xī,yang gye 양계,Dương khê,,
LI-6,偏歴,Pianli,Diverging Passage,piān lì,pyeon ryeok 편력,Thiên lịch,,
LI-7,溫溜,Wenliu,Warm Flow,wēn liū,ol lyu 온류,Ôn lưu,,
LI-8,下廉,Xialian,Lower Point at the Border,xià lián,ha ryeom 하렴,Hạ liêm,,
LI-9,上廉,Shanglian,Upper Point at the Border,shàng lián,sang nyeom 상렴,Thượng liêm,,
LI-10,手三里,Shousanli,Arm Three Miles,shǒu sān lǐ,[su] sam ni [수] 삼리,Thủ tam lý,,
LI-11,曲池,Quchi,Pool at the Bend,qū chí,gok ji 곡지,Khúc trì,,
LI-12,肘髎,Zhouliao,Elbow Bone Hole,zhǒu liáo,ju ryo 주료,Trữu liêu,,
LI-13,手五里,Shouwuli,Arm Five Miles,shǒu wǔ lǐ,[su] o ri [수] 오리,(Thủ) ngũ lý,,
LI-14,臂臑,Binao,Upper Arm,bì nào,bi no 비노,Tí nhu,,
LI-15,肩髃,Jianyu,Shoulder and Clavicle,jiān yú,gyeon u 견우,Kiên ngung,,
LI-16,巨骨,Jugu,Large Bone,jù gǔ,geo gol 거골,Ngự cốt,,
LI-17,天鼎,Tianding,Head's Tripod,tiān dǐng,cheon jeong 천정,Thiên đỉnh,,
LI-18,扶突,Futu,Beside the Prominence,fú tū,bu dol 부돌,Phù đột,,
LI-19,口禾髎,Kouheliao,Mouth Grain Hole,kǒu hé liáo,hwa ryo 화료,Hòa liêu,,
LI-20,迎香,Yingxiang,Receiving Fragrance,yíng xiāng,yeong hyang 영향,Nghênh hương,,
ST-1,承泣,Chengqi,Tears Container,chéng qì,seung eup 승읍,Thừa khấp,,
ST-2,四白,Sibai,Four Directions Brightness,sì bái,sa baek 사백,Tứ bạch,,
ST-3,巨髎,Juliao,Large Bone Hole,jù liáo,geo ryo 거료,Cự liêu,,
ST-4,地倉,Dicang,Earth Granary,dì cāng,ji chang 지창,Địa thương,,
ST-5,大迎,Daying,Large Receptacle (Facial Artery),dà yíng,dae yeong 대영,Đại nghênh,,
ST-6,頰車,Jiache,Jaw Bone,jiá chē,hyeop geo 협거,Giáp xa,,
ST-7,下關,Xiaguan,Below the Arch,xià guān,ha gwan 하관,Hạ quan,,
ST-8,頭維,Touwei,Head's Corner,tóu wéi,du yu 두유,Đầu duy,,
ST-9,人迎,Renying,Man'sPrognosis (Carotid Artery),rén yíng,in yeong 인영,Nhân nghênh,,
ST-10,水突,Shuitu,Liquid Passage,shǔi tū,su dol 수돌,Thủy đột,,
ST-11,氣舍,Qishe,Residence of Breath Qi,qì shè,gi sa 기사,Khí xá,,
ST-12,缺盆,Quepen,Empty Basin,quē pén,gyeol bun 결분,Khuyết bồn,,
ST-13,氣戶,Qihu,Door of Breath,qì hù,gi ho 기호,Khí hộ,,
ST-14,庫房,Kufang,Breath Storeroom,kù fáng,go bang 고방,Khố phòng,,
ST-15,屋翳,Wuyi,Hiding the Breath,wū yì,ok ye 옥예,Ốc ế,,
ST-16,膺窗,Yingchuang,Breast Window,yìng chuāng,eung chang 응창,Ưng song,,
ST-17,乳中,Ruzhong,Breast Centre (Nipple),rǔ zhōng,yu jung 유중,Nhũ trung,,
ST-18,乳根,Rugen,Breast Root,rǔ gēn,yu geun 유근,Nhũ căn,,
ST-19,不容,Burong,Not Contained,bù róng,bul yong 불용,Bất dung,,
ST-20,承滿,Chengman,Receiving Fullness,chéng mǎn,seng man 승만,Thừa mãn,,
ST-21,梁門,Liangmen,Beam Gate,liáng mén,yang mun 양문,Lương môn,,
ST-22,關門,Guanmen,Shutting the Gate,guān mén,gwan mun 관문,Quan môn,,
ST-23,太乙,Taiyi,Great Unity,tài yǐ,tae eul 태을,Thái ất,,
ST-24,滑肉門,Huaroumen,Chime Gate,huá ròu mén,hwal yung mun 활육문,Hoạt nhục môn,,
ST-25,天樞,Tianshu,Heavenly Pivot,tiān shū,cheon chu 천추,Thiên xu,,
ST-26,外陵,Wailing,Outer Mound,wài líng,woe neung 외릉,Ngoại lăng,,
ST-27,大巨,Daju,Great Bulge,dà jù,dae geo 대거,Đại cự,,
ST-28,水道,Shuidao,Waterway,shuǐ dào,su do 수도,Thủy đạo,,
ST-29,歸來 (归来),Guilai,Restoring Position,guī lái,gui rae 귀래,Qui lai,,
ST-30,氣沖,Qichong,Qi Surge,qì chōng,gi chung 기충,Khí xung,,
ST-31,髀關,Biguan,Thigh Gate,bì guān,bi gwan 비관,Bễ quan,,
ST-32,伏兔,Futu,Crouching Rabbit,fú tù,bok to 복토,Phục thỏ,,
ST-33,陰市,Yinshi,Yin Market,yīn shì,eum si 음시,Âm thị,,
ST-34,梁丘,Liangqiu,Ridge Mound,liáng qīu,yang gu 양구,Lương khâu,,
ST-35,犢鼻,Dubi,Calf's Nose,dú bí,dok bi 독비,Độc tị,,
ST-36,足三里,Zusanli,Leg Three Miles,zú sān lǐ,[jok] sam ni [족] 삼리,Túc tam lý,,
ST-37,上巨虛,Shangjuxu,Upper Great Void,shàng jù xū,sang geo heo 상거허,Thượng cự hư,,
ST-38,條口,Tiaokou,Ribbon Opening,tiáo kǒu,jo gu 조구,Điều khẩu,,
ST-39,下巨虛,Xiajuxu,Lower Large Hollow,xià jù xū,ha geo heo 하거허,Hạ cự hư,,
ST-40,豐隆,Fenglong,Abundant Bulge,fēng lóng,pung nyung 풍륭,Phong long,,
ST-41,解谿,Jiexi,Dividing Cleft,jiě xī,hae gye 해계,Giải khê,,
ST-42,沖陽,Chongyang,Surging Yang,chōng yáng,chung yang 충양,Xung dương,,
ST-43,陷谷,Xiangu,Sunken Valley,xiàn gǔ,ham gok 함곡,Hãm cốc,,
ST-44,内庭,Neiting,Inner Court,nèi tíng,nae jeong 내정,Nội đình,,
ST-45,厲兌,Lidui,Running Point,lì duì,ye tae 예태,Lệ đoài,,
SP-1,隱白,Yinbai,Hidden White,yǐn bái,eun baek 은백,Ẩn bạch,,
SP-2,大都,Dadu,Great Pool,dà dū,dae do 대도,Đại đô,,
SP-3,太白,Taibai,Great White,taì bái,tae baek 태백,Thái bạch,,
SP-4,公孫,Gongsun,Grandfather Grandson,gōng sūn,gong son 공손,Công tôn,,
SP-5,商丘,Shangqiu,Metal Mound,shāng qiū,sang gu 상구,Thương khâu,,
SP-6,三陰交,Sanyinjiao,Three Yin Intersection,sān yīn jiāo,sam eum gyo 삼음교,Tam âm giao,,
SP-7,漏谷,Lougu,Leaking Valley,loù gǔ,nu gok 루곡,Lậu cốc,,
SP-8,地機,Diji,Earth Cure,dì jī,ji gi 지기,Địa cơ,,
SP-9,陰陵泉,Yinlingquan,Yin Mound Spring,yīn líng qúan,eum neung cheon 음릉천,Âm lăng tuyền,,
SP-10,血海,Xuehai,Sea of Blood,xuè hǎi,hyeol hae 혈해,Huyết hải,,
SP-11,箕門,Jimen,Separation Gate,jī mén,gi mun 기문,Cơ môn,,
SP-12,衝門,Chongmen,Surging Gate,chōng mén,chung mun 충문,Xung môn,,
SP-13,府舍,Fushe,Bpwel Abode,fǔ shè,bu sa 부사,Phủ xá,,
SP-14,腹結,Fujie,Abdomen Stagnation,fù jié,bok gyeol 복결,Phúc kết,,
SP-15,大横,Da heng,Great Horizontal,dà héng,dae hoeng 대횡,Đại hoành,,
SP-16,腹哀,Fuai,Abdomen Suffering,fù āi,bok ae 복애,Phúc ai,,
SP-17,食竇,Shidou,Food Cavity,shí dòu,sik du 식두,Thực đậu,,
SP-18,天谿,Tianxi,Celestial Cleft,tiān xī,cheon gye 천계,Thiên khê,,
SP-19,胸鄉,Xiongxiang,Chest Village,xiōng xiāng,hyung hyang 흉향,Hung hương,,
SP-20,周榮,Zhourong,Complete Nourishment,zhōu róng,ju yeong 주영,Chu vinh,,
SP-21,大包,Dabao,Great Embrace,dà bāo,dae po 대포,Đại bao,,
HE-1,極泉,Jiquan,Highest Spring,jí quán,geuk cheon 극천,Cực tuyền,,
HE-2,青靈,Qingling,Green Spirit,qīng líng,cheong nyeong 청령,Thanh linh,,
HE-3,少海,Shaohai,Lesser Sea,shào hǎi,so hae 소해,Thiếu hải,,
HE-4,靈道,Lingdao,Spirit Path,líng dào,young do 영도,Linh đạo,,
HE-5,通里,Tongli,Inward Connection,tōng lǐ,tong ni 통리,Thông lý,,
HE-6,陰郄,Yinxi,Yin Cleft,yīn xī,eum geuk 음극,Âm khích,,
HE-7,神門,Shenmen,Spirit Gate,shén mén,sin mun 신문,Thần môn,,
HE-8,少府,Shaofu,Lesser Mansion,shào fǔ,so bu 소부,Thiếu phủ,,
HE-9,少沖,Shaochong,Lesser Surge,shào chōng,so chung 소충,Thiếu xung,,
SI-1,少澤,Shaoze,Lesser Marsh,shào zé,so taek 소택,Thiếu trạch,,
SI-2,前谷,Qiangu,Front Valley,qián gǔ,jeon gok 전곡,Tiền cốc,,
SI-3,後谿,Houxi,Back Stream,hòu xī,hu gye 후계,Hậu khê,,
SI-4,腕骨,Wangu,Wrist Bone,wàn gǔ,wan gol 완골,Uyển cốt,,
SI-5,陽谷,Yanggu,Yang Valley,yáng gǔ,yang gok 양곡,Dương cốc,,
SI-6,養老,Yanglao,Support the Aged,yǎng lǎo,yang no 양노,Dưỡng lão,,
SI-7,支正,Zhizheng,Branch of Upright,zhī zhèng,ji jeong 지정,Chi chính,,
SI-8,小海,Xiaohai,Small Sea,xiǎo hǎi,so hae 소해,Tiểu hải,,
SI-9,肩貞,Jianzhen,True Shoulder,jiān zhēn,gyeon jeong 견정,Kiên trinh,,
SI-10,臑俞,Naoshu,Upper arm transporter,nāo shū,no yu(su) 노유(수),Nhu du,,
SI-11,天宗,Tianzong,Heavenly Gathering,tiān zōng,cheon jong 천종,Thiên tông,,
SI-12,秉風,Bingfeng,Grasping the Wind,bǐng fēng,byeong pung 병풍,Bỉnh phong,,
SI-13,曲垣,Quyuan,Crooked Wall,qū yuán,gok won 곡원,Khúc viên,,
SI-14,肩外俞,Jianwaishu,Outer Shoulder Transporter,jiān wài shū,gyeon oe yu 견외유,Kiên ngoại du,,
SI-15,肩中俞,Jianzhongshu,Middle Shoulder Transporter,jiān zhōng shū,gyeon jung yu 견중유,Kiên trung du,,
SI-16,天窗,Tianchuang,Heavenly Window,tiān chuāng,cheon chang 천창,Thiên song,,
SI-17,天容,Tianrong,Heavenly Appearance,tiān róng,cheon yong 천용,Thiên dung,,
SI-18,顴髎,Quanliao,Cheek Bone Crevice,quán liáo,gwal lyo 관료,Quyền liêu,,
SI-19,聽宮,Tinggong,Palace of Hearing,tīng gōng,cheong gung 청궁,Thính cung,,
BL-1,睛明,Jingming,Bright Eyes,jīng míng,jeong myeong 정명,Tình minh,,
BL-2,攢竹,Zanzhu,Gathered Bamboo,cuán zhú,chan juk 찬죽,Toản trúc,,
BL-3,眉衝,Meichong,Eyebrows' Ascension,méi chōng,mi chung 미충,Mi xung,,
BL-4,曲差,Quchai,Deviating Curve,qǔ chāi,gok cha 곡차,Khúc sai,,
BL-5,五處,Wuchu,Fifth Position,wǔ chǔ,o cheo 오처,Ngũ xứ,,
BL-6,承光,Chengguang,Receiving Light,chéng guāng,seung gwang 승광,Thừa quang,,
BL-7,通天,Tongtian,Reaching Upward,tōng tiān,tong cheon 통천,Thông thiên,,
BL-8,絡卻,Luoque,Declining Connection,luò què,nak gak 락각,Lạc khước,,
BL-9,玉枕,Yuzhen,Jade Pillow,yù zhěn,ok chim 옥침,Ngọc chẩm,,
BL-10,天柱,Tianzhu,Upper Pillar,tiān zhù,cheon ju 천주,Thiên trụ,,
BL-11,大杼,Dazhu,Great Vertebra,dà zhù,dae jeo 대저,Đại trữ,,
BL-12,風門,Fengmen,Wind Gate,fēng mén,pung mun 풍문,Phong môn,,
BL-13,肺俞,Feishu,Lung Transporter,fèi shū,pye yu 폐유,Phế du,,
BL-14,厥陰俞,Jueyinshu,Absolute yin Transporter,jué yīn shū,gweor eum yu 궐음유,Quyết âm du,,
BL-15,心俞,Xinshu,Heart Transporter,xīn shū,sim yu 심유,Tâm du,,
BL-16,督俞,Dushu,Governor Transporter,dū shū,dok yu 독유,Đốc du,,
BL-17,膈俞,Geshu,Diaphragm Transporter,gé shū,gyeok yu 격유,Cách du,,
BL-18,肝俞,Ganshu,Liver Transporter,gān shū,gan yu 간유,Can du,,
BL-19,膽俞,Danshu,Gallbladder Transporter,dǎn shū,dam yu 담유,Đởm du,,
BL-20,脾俞,Pishu,Spleen Transporter,pí shū,bi yu 비유,Tỳ du,,
BL-21,胃俞,Weishu,Stomach Transporter,wèi shū,wi yu 위유,Vị du,,
BL-22,三焦俞,Sanjiaoshu,Sanjiao Transporter,sān jiāo shū,sam cho yu 삼초유,Tam tiêu du,,
BL-23,腎俞,Shenshu,Kidney Transporter,shèn shū,sim yu 신유,Thận du,,
BL-24,氣海俞,Qihaishu,Sea of Qi Transporter,qì hǎi shū,gi hae yu 기해유,Khí hải du,,
BL-25,大腸俞,Dachangshu,Large Intestine Transporter,dà cháng shū,dae jang yu 대장유,Đại trường du,,
BL-26,關元俞,Guanyuanshu,Gate of Origin Transporter,guān yuán shū,gwan won yu 관원유,Quan nguyên du,,
BL-27,小腸俞,Xiaochangshu,Small Intestine Transporter,xiǎo cháng shū,so jang yu 소장유,Tiểu trường du,,
BL-28,膀胱俞,Pangguangshu,Bladder Transporter,páng guāng shū,bang wang yu 방광유,Bàng quang du,,
BL-29,中膂俞,Zhonglushu,Mid-Spine Transporter,zhōng lǚ shū,jung nyeo nae yu 중려내유,Trung lữ du,,
BL-30,白環俞,Baihuanshu,White Ring Transporter,bái huán shū,baek hwan yu 백환유,Bạch hoàn du,,
BL-31,上髎,Shangliao,Upper Bone Hole,shàng liáo,sang nyo 상료,Thượng liêu,,
BL-32,次髎,Ciliao,Second Bone Hole,cì liáo,cha ryo 차료,Thứ liêu,,
BL-33,中髎,Zhongliao,Middle Bone Hole,zhōng liáo,jung nyo 중료,Trung liêu,,
BL-34,下髎,Xialiao,Lower Bone Hole,xià liáo,ha ryo 하료,Hạ liêu,,
BL-35,會陽,Huiyang,Meeting of Yang,huì yáng,hoe yang 회양,Hội dương,,
BL-36,承扶,Chengfu,Hold and Support,chéng fú,seung bu 승부,Thừa phù,,
BL-37,殷門,Yinmen,Hanstring Gate,yīn mén,eun mun 은문,Ân môn,,
BL-38,浮郄,Fuxi,Superficial Cleft,fú xī,bu geuk 부극,Phù khích,,
BL-39,委陽,Weiyang,Lateral End of the Crease,wěi yáng,wi yang 위양,Ủy dương,,
BL-40,委中,Weizhong,Middle of the Crease,wěi zhōng,wi jung 위중,Ủy trung,,
BL-41,附分,Fufen,Outer Branch,fù fēn,bu bun 부분,Phụ phân,,
BL-42,魄戶,Pohu,Door of the Corporeal Soul,pò hù,baek ho 백호,Phách hộ,,
BL-43,膏肓俞,Gaohuangshu,Vital Region Shu,gāo huāng shū,go hwang [yu] 고황[유],Cao hoang du,,
BL-44,神堂,Shentang,Spirit Hall,shén táng,sin dang 신당,Thần đường,,
BL-45,譩譆,Yixi,That Hurt,yì xǐ,ui hoe 의회,Y hy,,
BL-46,膈關,Geguan,Diaphragm Gate,gé guān,gyeok gwan 격관,Cách quan,,
BL-47,魂門,Hunmen,Ethereal Soul Gate,hún mén,hon mun 혼문,Hồn môn,,
BL-48,陽綱,Yanggang,Linking to Gall Bladder,yáng gāng,yang gang 양강,Dương cương,,
BL-49,意舍,Yishe,Abode of Thought,yì shě,ui sa 의사,Ý xá,,
BL-50,胃倉,Weicang,Stomach Granary,wèi cāng,wi chang 위창,Vị thương,,
BL-51,肓門,Huangmen,Vitals Gate,huāng mén,hwang mun 황문,Hoang môn,,
BL-52,志室,Zhishi,Willpower Room,zhì shì,ji sil 지실,Chí thất,,
BL-53,胞肓,Baohuang,Bladder's Vitals,bāo huāng,po hwang 포황,Bào hoang,,
BL-54,秩邊,Zhibian,Lowermost in Order,zhì biān,jil byeon 질변,Trật biên,,
BL-55,合陽,Heyang,Yang Confluence,hé yáng,hap yang 합양,Hợp dương,,
